t psi theta phi
2.831416 -2.670498 1.230888 39.877189
2.841421 -2.683969 1.229985 40.014566
2.851426 -2.697447 1.229085 40.151941
2.861431 -2.710932 1.228189 40.289312
2.871436 -2.724424 1.227296 40.426682
2.881441 -2.737923 1.226407 40.564048
2.891446 -2.751429 1.225521 40.701413
2.901451 -2.764942 1.224639 40.838775
2.911456 -2.778461 1.223760 40.976134
2.921461 -2.791987 1.222885 41.113492
2.931466 -2.805520 1.222014 41.250847
2.941471 -2.819059 1.221146 41.388200
2.951476 -2.832605 1.220283 41.525551
2.961481 -2.846157 1.219422 41.662900
2.971486 -2.859716 1.218566 41.800246
2.981491 -2.873281 1.217714 41.937591
2.991496 -2.886852 1.216865 42.074934
3.001501 -2.900429 1.216020 42.212275
3.011506 -2.914013 1.215179 42.349614
3.021511 -2.927603 1.214342 42.486952
3.031516 -2.941199 1.213509 42.624287
3.041521 -2.954801 1.212681 42.761621
3.051526 -2.968410 1.211856 42.898954
3.061531 -2.982024 1.211035 43.036284
3.071536 -2.995644 1.210218 43.173613
3.081541 -3.009269 1.209406 43.310941
3.091546 -3.022901 1.208598 43.448266
3.101551 -3.036538 1.207794 43.585591
3.111556 -3.050181 1.206994 43.722914
3.121561 -3.063830 1.206198 43.860235
3.131566 -3.077484 1.205407 43.997556
3.141571 -3.091144 1.204620 44.134874
3.151576 -3.104810 1.203838 44.272192
3.161581 -3.118481 1.203060 44.409508
3.171586 -3.132157 1.202286 44.546823
3.181591 -3.145839 1.201517 44.684137
3.191596 -3.159526 1.200753 44.821450
3.201601 -3.173218 1.199993 44.958761
3.211606 -3.186915 1.199237 45.096071
3.221611 -3.200618 1.198486 45.233381
3.231616 -3.214326 1.197740 45.370689
3.241621 -3.228039 1.196999 45.507996
3.251626 -3.241757 1.196262 45.645302
3.261631 -3.255479 1.195530 45.782608
3.271636 -3.269207 1.194803 45.919912
3.281641 -3.282940 1.194080 46.057216
3.291646 -3.296678 1.193363 46.194518
3.301651 -3.310420 1.192650 46.331820
3.311656 -3.324167 1.191942 46.469121
3.321661 -3.337919 1.191239 46.606421
3.331666 -3.351676 1.190541 46.743720
3.341671 -3.365437 1.189848 46.881018
3.351676 -3.379203 1.189160 47.018316
3.361681 -3.392974 1.188477 47.155613
3.371686 -3.406749 1.187800 47.292910
3.381691 -3.420528 1.187127 47.430205
3.391696 -3.434312 1.186459 47.567500
3.401701 -3.448100 1.185797 47.704795
3.411706 -3.461893 1.185140 47.842089
3.421711 -3.475689 1.184488 47.979382
3.431716 -3.489490 1.183841 48.116675
3.441721 -3.503296 1.183200 48.253967
3.451726 -3.517105 1.182564 48.391258
3.461731 -3.530919 1.181934 48.528550
3.471736 -3.544736 1.181308 48.665840
3.481741 -3.558558 1.180688 48.803131
3.491746 -3.572384 1.180074 48.940420
3.501751 -3.586213 1.179465 49.077710
3.511756 -3.600047 1.178862 49.214999
3.521761 -3.613884 1.178264 49.352287
3.531766 -3.627725 1.177672 49.489575
3.541771 -3.641570 1.177085 49.626863
3.551776 -3.655419 1.176504 49.764151
3.561781 -3.669271 1.175928 49.901438
3.571786 -3.683127 1.175358 50.038724
3.581791 -3.696987 1.174794 50.176011
3.591796 -3.710850 1.174236 50.313297
3.601801 -3.724717 1.173683 50.450583
3.611806 -3.738587 1.173137 50.587869
3.621811 -3.752461 1.172596 50.725154
3.631816 -3.766338 1.172060 50.862439
3.641821 -3.780218 1.171531 50.999724
3.651826 -3.794102 1.171008 51.137009
3.661831 -3.807989 1.170490 51.274294
3.671836 -3.821879 1.169978 51.411578
3.681841 -3.835772 1.169473 51.548862
3.691846 -3.849669 1.168973 51.686146
3.701851 -3.863569 1.168480 51.823430
3.711856 -3.877471 1.167992 51.960714
3.721861 -3.891377 1.167510 52.097997
3.731866 -3.905286 1.167035 52.235281
3.741871 -3.919198 1.166566 52.372564
3.751876 -3.933112 1.166102 52.509847
3.761881 -3.947030 1.165645 52.647130
3.771886 -3.960950 1.165194 52.784413
3.781891 -3.974873 1.164750 52.921696
3.791896 -3.988799 1.164311 53.058979
3.801901 -4.002727 1.163879 53.196262
3.811906 -4.016658 1.163453 53.333544
3.821911 -4.030592 1.163034 53.470827
3.831916 -4.044528 1.162620 53.608109
3.841921 -4.058467 1.162213 53.745392
3.851926 -4.072408 1.161813 53.882674
3.861931 -4.086352 1.161418 54.019957
3.871936 -4.100298 1.161030 54.157239
3.881941 -4.114246 1.160649 54.294522
3.891946 -4.128197 1.160274 54.431804
3.901951 -4.142150 1.159905 54.569086
3.911956 -4.156106 1.159543 54.706369
3.921961 -4.170063 1.159188 54.843651
3.931966 -4.184023 1.158838 54.980933
3.941971 -4.197984 1.158496 55.118216
3.951976 -4.211948 1.158160 55.255498
3.961981 -4.225914 1.157830 55.392780
3.971986 -4.239882 1.157507 55.530062
3.981991 -4.253852 1.157191 55.667345
