t psi theta phi
0.660066 -0.252937 0.950924 16.291685
0.662066 -0.254481 0.950808 16.340433
0.664066 -0.256027 0.950695 16.389181
0.666067 -0.257573 0.950586 16.437927
0.668067 -0.259122 0.950479 16.486672
0.670067 -0.260671 0.950377 16.535416
0.672067 -0.262222 0.950277 16.584160
0.674067 -0.263774 0.950181 16.632902
0.676068 -0.265327 0.950088 16.681643
0.678068 -0.266882 0.949998 16.730384
0.680068 -0.268437 0.949912 16.779124
0.682068 -0.269994 0.949829 16.827862
0.684068 -0.271552 0.949749 16.876601
0.686069 -0.273111 0.949673 16.925338
0.688069 -0.274670 0.949600 16.974075
0.690069 -0.276231 0.949531 17.022811
0.692069 -0.277792 0.949464 17.071546
0.694069 -0.279355 0.949402 17.120281
0.696070 -0.280918 0.949342 17.169015
0.698070 -0.282482 0.949286 17.217748
0.700070 -0.284046 0.949233 17.266481
0.702070 -0.285611 0.949184 17.315214
0.704070 -0.287177 0.949138 17.363946
0.706071 -0.288743 0.949096 17.412678
0.708071 -0.290310 0.949057 17.461409
0.710071 -0.291878 0.949021 17.510140
0.712071 -0.293445 0.948989 17.558871
0.714071 -0.295014 0.948960 17.607601
0.716072 -0.296582 0.948934 17.656331
0.718072 -0.298151 0.948912 17.705061
0.720072 -0.299720 0.948893 17.753791
0.722072 -0.301289 0.948878 17.802520
0.724072 -0.302859 0.948866 17.851250
0.726073 -0.304429 0.948857 17.899979
0.728073 -0.305998 0.948852 17.948708
0.730073 -0.307568 0.948851 17.997437
0.732073 -0.309138 0.948852 18.046167
0.734073 -0.310707 0.948857 18.094896
0.736074 -0.312277 0.948866 18.143625
0.738074 -0.313847 0.948878 18.192355
0.740074 -0.315416 0.948893 18.241084
0.742074 -0.316985 0.948912 18.289814
0.744074 -0.318554 0.948934 18.338544
0.746075 -0.320122 0.948960 18.387274
0.748075 -0.321690 0.948988 18.436004
0.750075 -0.323258 0.949021 18.484735
0.752075 -0.324826 0.949057 18.533466
0.754075 -0.326393 0.949096 18.582197
0.756076 -0.327959 0.949138 18.630929
0.758076 -0.329525 0.949184 18.679661
0.760076 -0.331090 0.949233 18.728394
0.762076 -0.332654 0.949286 18.777127
0.764076 -0.334218 0.949342 18.825860
0.766077 -0.335781 0.949402 18.874594
0.768077 -0.337344 0.949464 18.923329
0.770077 -0.338905 0.949530 18.972064
0.772077 -0.340466 0.949600 19.020800
0.774077 -0.342025 0.949673 19.069537
0.776078 -0.343584 0.949749 19.118274
0.778078 -0.345142 0.949829 19.167013
0.780078 -0.346699 0.949912 19.215751
0.782078 -0.348254 0.949998 19.264491
0.784078 -0.349809 0.950088 19.313232
0.786079 -0.351362 0.950181 19.361973
0.788079 -0.352914 0.950277 19.410715
0.790079 -0.354465 0.950376 19.459459
0.792079 -0.356014 0.950479 19.508203
0.794079 -0.357563 0.950586 19.556948
0.796080 -0.359109 0.950695 19.605694
0.798080 -0.360655 0.950808 19.654442
0.800080 -0.362199 0.950924 19.703190
0.802080 -0.363741 0.951043 19.751940
0.804080 -0.365282 0.951166 19.800690
0.806081 -0.366821 0.951292 19.849442
0.808081 -0.368359 0.951421 19.898195
0.810081 -0.369894 0.951554 19.946950
0.812081 -0.371429 0.951689 19.995705
0.814081 -0.372961 0.951828 20.044462
0.816082 -0.374492 0.951970 20.093221
0.818082 -0.376020 0.952116 20.141980
0.820082 -0.377547 0.952264 20.190742
0.822082 -0.379072 0.952416 20.239504
0.824082 -0.380595 0.952571 20.288268
