t psi theta phi
1.845923 -7.540908 1.046248 30.414708
1.850925 -7.561529 1.046179 30.496910
1.855928 -7.582148 1.046108 30.579114
1.860930 -7.602765 1.046034 30.661322
1.865933 -7.623379 1.045958 30.743532
1.870935 -7.643990 1.045880 30.825745
1.875938 -7.664600 1.045800 30.907961
1.880940 -7.685206 1.045718 30.990179
1.885943 -7.705810 1.045633 31.072402
1.890945 -7.726412 1.045547 31.154627
1.895948 -7.747011 1.045458 31.236855
1.900950 -7.767606 1.045368 31.319087
1.905953 -7.788200 1.045275 31.401322
1.910955 -7.808790 1.045181 31.483561
1.915958 -7.829377 1.045085 31.565804
1.920960 -7.849961 1.044986 31.648049
1.925963 -7.870542 1.044886 31.730299
1.930965 -7.891120 1.044785 31.812552
1.935968 -7.911695 1.044681 31.894810
1.940970 -7.932266 1.044576 31.977071
1.945973 -7.952835 1.044469 32.059336
1.950975 -7.973400 1.044360 32.141605
1.955978 -7.993961 1.044250 32.223878
1.960980 -8.014519 1.044138 32.306155
1.965983 -8.035074 1.044024 32.388436
1.970985 -8.055625 1.043909 32.470722
1.975988 -8.076172 1.043793 32.553012
1.980990 -8.096716 1.043675 32.635306
1.985993 -8.117256 1.043556 32.717604
1.990995 -8.137793 1.043436 32.799907
1.995998 -8.158326 1.043314 32.882215
2.001001 -8.178855 1.043191 32.964527
2.006003 -8.199380 1.043066 33.046843
2.011006 -8.219902 1.042941 33.129164
2.016008 -8.240419 1.042814 33.211490
2.021011 -8.260933 1.042687 33.293821
2.026013 -8.281443 1.042558 33.376156
2.031016 -8.301948 1.042428 33.458496
2.036018 -8.322450 1.042297 33.540841
2.041021 -8.342948 1.042166 33.623190
2.046023 -8.363442 1.042033 33.705544
2.051026 -8.383932 1.041900 33.787904
2.056028 -8.404417 1.041766 33.870268
2.061031 -8.424899 1.041631 33.952637
2.066033 -8.445376 1.041496 34.035011
2.071036 -8.465850 1.041360 34.117390
2.076038 -8.486319 1.041223 34.199774
2.081041 -8.506784 1.041086 34.282163
2.086043 -8.527245 1.040948 34.364557
2.091046 -8.547701 1.040810 34.446956
