t psi theta phi
2.181091 -1.868763 0.852610 32.042763
2.186093 -1.869750 0.856709 32.117056
2.191096 -1.870652 0.860785 32.191411
2.196098 -1.871469 0.864836 32.265828
2.201101 -1.872199 0.868864 32.340309
2.206103 -1.872843 0.872866 32.414854
2.211106 -1.873400 0.876842 32.489465
2.216108 -1.873868 0.880791 32.564142
2.221111 -1.874248 0.884713 32.638886
2.226113 -1.874538 0.888607 32.713699
2.231116 -1.874738 0.892473 32.788581
2.236118 -1.874848 0.896309 32.863533
2.241121 -1.874866 0.900115 32.938557
2.246123 -1.874793 0.903890 33.013652
2.251126 -1.874627 0.907634 33.088820
2.256128 -1.874368 0.911345 33.164062
2.261131 -1.874016 0.915024 33.239378
2.266133 -1.873570 0.918669 33.314770
2.271136 -1.873030 0.922279 33.390238
2.276138 -1.872394 0.925855 33.465782
2.281141 -1.871664 0.929394 33.541405
2.286143 -1.870838 0.932897 33.617105
2.291146 -1.869915 0.936362 33.692885
2.296148 -1.868897 0.939790 33.768744
2.301151 -1.867782 0.943178 33.844683
2.306153 -1.866569 0.946527 33.920703
2.311156 -1.865260 0.949835 33.996804
2.316158 -1.863854 0.953101 34.072987
2.321161 -1.862350 0.956326 34.149252
2.326163 -1.860748 0.959508 34.225599
2.331166 -1.859050 0.962646 34.302029
2.336168 -1.857253 0.965739 34.378543
2.341171 -1.855359 0.968788 34.455140
2.346173 -1.853368 0.971790 34.531820
2.351176 -1.851280 0.974746 34.608584
2.356178 -1.849095 0.977653 34.685431
2.361181 -1.846814 0.980513 34.762362
2.366183 -1.844436 0.983322 34.839377
2.371186 -1.841963 0.986082 34.916475
2.376188 -1.839394 0.988791 34.993656
2.381191 -1.836731 0.991448 35.070920
2.386193 -1.833974 0.994053 35.148266
2.391196 -1.831124 0.996605 35.225695
2.396198 -1.828182 0.999102 35.303205
2.401201 -1.825148 1.001544 35.380796
2.406203 -1.822023 1.003931 35.458467
2.411206 -1.818809 1.006261 35.536217
2.416208 -1.815507 1.008534 35.614046
2.421211 -1.812118 1.010749 35.691953
2.426213 -1.808643 1.012906 35.769936
2.431216 -1.805084 1.015002 35.847995
2.436218 -1.801443 1.017039 35.926127
2.441221 -1.797720 1.019015 36.004333
2.446223 -1.793917 1.020929 36.082610
2.451226 -1.790037 1.022780 36.160957
2.456228 -1.786082 1.024569 36.239373
2.461231 -1.782052 1.026294 36.317855
2.466233 -1.777951 1.027954 36.396402
2.471236 -1.773780 1.029550 36.475012
2.476238 -1.769541 1.031079 36.553683
2.481241 -1.765238 1.032543 36.632414
2.486243 -1.760872 1.033940 36.711201
2.491246 -1.756445 1.035270 36.790043
2.496248 -1.751962 1.036531 36.868938
2.501251 -1.747423 1.037724 36.947882
2.506253 -1.742832 1.038849 37.026874
2.511256 -1.738192 1.039904 37.105911
2.516258 -1.733505 1.040889 37.184991
2.521261 -1.728775 1.041804 37.264110
2.526263 -1.724005 1.042648 37.343266
2.531266 -1.719197 1.043422 37.422457
2.536268 -1.714355 1.044124 37.501679
2.541271 -1.709482 1.044755 37.580929
2.546273 -1.704581 1.045313 37.660205
2.551276 -1.699655 1.045800 37.739504
2.556278 -1.694709 1.046214 37.818821
2.561281 -1.689744 1.046556 37.898155
2.566283 -1.684765 1.046825 37.977503
2.571286 -1.679775 1.047022 38.056860
2.576288 -1.674778 1.047145 38.136224
2.581291 -1.669777 1.047196 38.215593
2.586293 -1.664774 1.047174 38.294961
2.591296 -1.659775 1.047079 38.374328
